,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
274,Bograd,20,RU,1567741566,87,54.22,90.86,50.0,4.47
275,Sangar,0,RU,1567741567,47,63.92,127.47,57.11,2.37
276,Matara,0,BI,1567741567,64,-3.48,29.48,52.97,1.57
277,Kamaishi,40,JP,1567741567,66,39.28,141.86,86.0,3.36
278,Wanning,75,AT,1567741567,93,48.64,13.53,55.99,6.93
279,Muzhi,0,RU,1567741567,83,65.4,64.7,52.77,6.11
280,Artigas,0,BR,1567741568,83,-30.4,-56.46,46.6,16.53
281,San Patricio,100,PY,1567741568,95,-26.98,-56.83,54.81,6.26
282,Longyearbyen,75,NO,1567741568,80,78.22,15.63,39.2,21.92
283,Waingapu,29,ID,1567741568,59,-9.65,120.26,81.61,12.46
284,Iquitos,0,PE,1567741569,94,-3.75,-73.25,77.0,1.5
285,San Lorenzo,52,HN,1567741569,91,13.43,-87.45,75.87,2.48
286,Vengurla,75,IN,1567741569,94,15.86,73.64,77.0,18.34
287,Karaidel,0,RU,1567741570,93,55.83,56.91,44.55,7.45
288,Bulungu,88,CD,1567741570,59,-4.54,18.6,80.08,5.14
289,Tiarei,75,PF,1567741570,61,-17.53,-149.33,80.6,8.05
290,Tshikapa,43,CD,1567741570,52,-6.42,20.79,74.5,2.84
291,Fort Nelson,40,CA,1567741571,62,58.81,-122.69,59.0,2.24
292,Henties Bay,0,NA,1567741571,92,-22.12,14.28,54.0,1.01
293,Serenje,45,ZM,1567741571,53,-13.23,30.22,57.65,7.09
294,Lasa,75,CY,1567741572,83,34.92,32.53,75.2,4.7
295,Verkhnevilyuysk,78,RU,1567741572,58,63.45,120.31,54.09,4.94
296,Khani,40,GE,1567741572,93,41.96,42.96,64.4,1.12
297,Ampanihy,31,MG,1567741573,94,-24.69,44.75,64.58,7.45
298,Shingu,40,JP,1567741574,62,33.72,135.99,89.6,10.29
299,Berlevag,75,NO,1567741574,87,70.86,29.09,48.2,4.7
300,Lahaina,40,US,1567741574,58,20.87,-156.68,86.0,21.92
301,Mogadishu,75,SO,1567741574,74,2.04,45.34,78.8,13.87
302,Kavaratti,40,IN,1567741575,74,10.57,72.64,84.2,4.7
303,Gushikawa,75,JP,1567741575,83,26.35,127.87,84.2,21.92
304,Cockenzie,90,GB,1567741575,87,55.97,-2.97,55.99,20.8
305,Katsuura,40,JP,1567741575,59,33.93,134.5,89.6,20.8
306,Pahrump,75,US,1567741576,22,36.21,-115.98,89.01,5.97
307,Zhigansk,100,RU,1567741576,58,66.77,123.37,49.86,4.83
308,Nurota,0,UZ,1567741577,32,40.56,65.69,68.0,9.17
309,San Carlos,100,NI,1567741511,48,11.12,-84.78,71.01,11.99
310,Iqaluit,40,CA,1567741578,75,63.75,-68.52,44.6,4.7
311,Ciudad Real,0,ES,1567741578,46,38.99,-3.93,63.0,1.99
312,Lengshuitan,0,CN,1567741578,47,26.41,111.6,87.73,6.2
313,Harper,1,US,1567741578,78,30.3,-99.24,80.6,8.05
314,Bismarck,90,US,1567741348,77,46.81,-100.78,66.99,5.82
315,Nuuk,71,GL,1567741579,75,64.17,-51.74,42.8,17.22
316,Samarai,41,PG,1567741579,58,-10.62,150.67,76.46,9.44
317,Xian,0,ES,1567741579,76,42.76,-8.49,64.99,6.93
318,Camacupa,0,AO,1567741579,47,-12.02,17.48,58.39,3.6
319,Dutlwe,63,BW,1567741580,23,-23.98,23.93,65.08,10.18
320,Bowen,2,AU,1567741581,13,-20.01,148.25,89.6,5.82
321,Yzeure,0,FR,1567741581,76,46.57,3.36,50.0,4.7
322,Nanortalik,100,GL,1567741581,84,60.14,-45.24,44.62,12.62
323,Vardo,1,US,1567741299,72,39.62,-77.74,68.0,6.93
324,Manicore,100,BR,1567741582,80,-5.81,-61.3,76.48,1.72
325,Quelimane,20,MZ,1567741582,88,-17.88,36.89,66.2,3.36
326,Mahibadhoo,52,MV,1567741582,75,3.78,72.97,83.41,7.76
327,Leningradskiy,42,RU,1567741583,92,69.38,178.42,43.27,5.57
328,Inirida,46,CO,1567741583,98,3.87,-67.92,72.37,2.95
329,Khatanga,100,RU,1567741584,97,71.98,102.47,46.09,4.16
330,Tiksi,100,RU,1567741584,67,71.64,128.87,43.92,8.3
331,Hay River,20,CA,1567741585,87,60.82,-115.79,50.0,4.09
332,Olinda,90,AU,1567741585,54,-37.84,145.39,60.01,14.99
333,Mikhaylovka,32,RU,1567741585,59,52.96,103.29,57.02,5.53
334,Umm Kaddadah,51,SD,1567741586,66,13.6,26.69,78.49,11.27
335,Guadalupe,75,MX,1567741586,83,25.68,-100.26,80.6,10.29
336,Mahebourg,40,MU,1567741586,93,-20.41,57.7,72.0,5.82
337,Likasi,95,CD,1567741586,41,-10.99,26.74,57.18,5.5
338,Bonthe,100,SL,1567741587,91,7.53,-12.5,76.17,5.97
339,Pasighat,93,IN,1567741588,83,28.06,95.33,76.3,0.83
340,Bonavista,0,CA,1567741588,82,48.65,-53.11,57.0,13.0
341,Tilichiki,100,RU,1567741588,61,60.47,166.1,54.45,5.99
342,Egvekinot,96,RU,1567741589,68,66.32,-179.17,45.9,2.98
343,Lompoc,1,US,1567741590,87,34.64,-120.46,72.0,8.05
344,Natal,40,BR,1567741590,88,-5.81,-35.21,73.4,8.05
345,Erzin,0,TR,1567741590,74,36.95,36.2,79.0,11.41
346,Tual,92,ID,1567741590,84,-5.67,132.75,76.41,14.81
347,Ulladulla,0,AU,1567741591,50,-35.36,150.48,75.2,23.04
348,Avera,40,US,1567741591,83,33.19,-82.53,82.4,3.62
349,Manta,0,RO,1567741591,85,45.1,24.1,54.84,1.77
350,Marawi,94,PH,1567741591,74,8.0,124.29,84.99,8.01
351,Glens Falls,1,US,1567741536,93,43.31,-73.64,57.99,2.44
352,Gigmoto,100,PH,1567741592,76,13.78,124.39,84.61,9.95
353,Ferkessedougou,79,CI,1567741592,91,9.6,-5.2,71.13,2.98
354,Chokurdakh,54,RU,1567741592,63,70.62,147.9,41.32,3.91
355,Sibolga,37,ID,1567741316,80,1.74,98.78,81.12,7.05
356,Salvador,40,BR,1567741517,69,-12.98,-38.48,78.8,9.17
357,San Luis,76,AR,1567741593,49,-33.3,-66.34,51.55,8.79
358,Malpe,75,IN,1567741593,94,13.35,74.72,78.8,12.75
359,Sambava,0,MG,1567741593,85,-14.27,50.17,63.9,3.96
360,Roseburg,40,US,1567741495,68,43.22,-123.34,73.0,4.7
361,Yalta,95,UA,1567741594,49,46.96,37.27,60.33,10.74
362,Biak,99,ID,1567741594,84,-0.91,122.88,68.94,4.32
363,Caronport,0,CA,1567741594,64,50.46,-105.81,60.01,1.99
364,Tarata,90,PE,1567741594,100,-17.47,-70.03,55.4,6.93
365,Tateyama,75,JP,1567741595,49,36.66,137.31,93.99,11.41
366,Cap Malheureux,40,MU,1567741595,93,-19.98,57.61,72.0,5.82
367,Leh,0,IN,1567741595,38,34.16,77.58,48.13,4.59
368,Bubaque,100,GW,1567741596,82,11.28,-15.83,80.26,7.45
369,Hirara,75,JP,1567741596,88,24.8,125.28,86.0,20.8
370,Nieuw Amsterdam,20,SR,1567741596,83,5.88,-55.08,79.0,8.05
371,San Ignacio,65,PE,1567741597,92,-5.15,-79.0,60.12,1.81
372,Saint-Joseph,90,FR,1567741597,72,43.56,6.97,69.8,4.61
373,Belyy Yar,20,RU,1567741597,87,53.6,91.39,50.0,4.47
374,Yagodnoye,93,RU,1567741598,75,62.52,149.63,46.96,4.85
375,Abu Dhabi,0,AE,1567741598,89,24.47,54.37,89.6,5.82
376,Bozhou,0,CN,1567741598,53,33.86,115.78,82.78,7.78
377,Berezovyy,0,RU,1567741598,56,51.67,135.7,71.19,3.58
378,Oksbol,33,DK,1567741599,93,55.63,8.29,52.0,3.36
379,Darnah,0,LY,1567741599,74,32.77,22.64,78.62,8.14
380,Moose Jaw,5,CA,1567741599,82,50.4,-105.54,55.4,5.82
381,Antiguo Morelos,100,MX,1567741599,74,22.55,-99.08,82.99,3.0
382,Svetlogorsk,40,RU,1567741600,93,53.14,59.15,48.2,8.95
383,Richards Bay,100,ZA,1567741600,71,-28.77,32.06,65.73,16.8
384,Sarangani,100,PH,1567741602,74,5.4,125.46,82.69,10.11
385,Anqing,52,CN,1567741603,73,30.51,117.04,79.95,9.24
386,Tagusao,51,PH,1567741603,73,9.19,117.81,84.79,15.79
387,Surgut,0,RU,1567741595,93,61.25,73.4,53.6,4.47
388,Urdoma,6,RU,1567741604,94,61.74,48.55,50.2,3.13
389,Vvedenskoye,62,RU,1567741604,87,55.29,38.01,59.0,4.47
390,Maumere,100,ID,1567741605,67,-8.63,122.22,78.53,6.51
391,Celestun,0,MX,1567741605,82,20.87,-90.4,83.25,21.32
392,Northam,0,AU,1567741605,36,-31.65,116.67,60.8,10.29
393,Hami,0,CN,1567741605,27,42.84,93.51,77.29,2.84
394,Gojra,1,PK,1567741606,38,31.15,72.69,96.98,11.7
395,Esperance,0,AU,1567741606,50,-33.86,121.89,55.4,8.05
396,Semey,40,KZ,1567741607,52,50.41,80.25,64.4,6.71
397,Castanos,100,MX,1567741608,94,26.78,-101.42,73.99,3.56
398,Majene,33,ID,1567741540,81,-3.54,118.97,80.31,20.6
399,Kinsale,75,IE,1567741608,87,51.71,-8.52,53.6,10.29
400,Smithers,90,CA,1567741608,55,54.78,-127.17,64.4,4.7
401,Vangaindrano,0,MG,1567741609,95,-23.35,47.6,62.01,2.98
402,Yima,0,CN,1567741609,41,34.75,111.87,77.72,6.98
403,Kieta,2,PG,1567741610,69,-6.22,155.63,82.9,7.92
404,Mineiros,0,BR,1567741610,21,-17.57,-52.55,76.08,4.18
405,Xapuri,16,BR,1567741610,70,-10.65,-68.5,75.47,3.2
406,Kaa-Khem,0,RU,1567741610,45,51.7,94.56,51.76,3.96
407,Dalby,0,AU,1567741361,7,-27.18,151.26,90.0,27.51
408,Tura,0,RU,1567741611,44,64.27,100.22,48.4,3.42
409,Bourail,0,NC,1567741611,37,-21.57,165.5,75.49,7.47
410,Shenjiamen,100,CN,1567741611,88,29.96,122.3,76.53,25.55
411,Broken Hill,40,AU,1567741611,40,-31.97,141.45,62.6,31.09
412,Dingle,34,PH,1567741612,62,11.0,122.67,87.98,11.36
413,Makakilo City,1,US,1567741612,52,21.35,-158.09,89.6,10.29
414,Ustye,94,RU,1567741612,79,58.76,27.79,61.09,13.73
415,Coihaique,20,CL,1567741612,74,-45.58,-72.07,35.6,2.24
416,Aden,98,YE,1567741612,51,12.79,45.03,88.29,9.19
417,Constitucion,90,MX,1567741613,77,23.99,-104.67,66.0,8.05
418,Strezhevoy,0,RU,1567741613,93,60.73,77.6,50.0,2.24
419,Imbituba,75,BR,1567741614,71,-28.24,-48.67,57.2,2.24
420,Yakeshi,12,CN,1567741614,64,49.28,120.73,71.15,7.85
421,Mandera,97,ET,1567741615,62,3.94,41.86,74.75,7.9
422,Freeport,1,BS,1567741615,82,26.54,-78.7,84.49,19.06
423,Ayagoz,45,KZ,1567741615,50,47.96,80.43,60.37,14.97
424,Brus Laguna,100,HN,1567741616,80,15.75,-84.48,84.4,16.02
425,Husavik,94,CA,1567741616,91,50.56,-96.99,60.01,3.4
426,Altamira,0,BR,1567741616,94,-3.2,-52.21,73.63,2.66
427,Yiyang,0,CN,1567741617,53,28.59,112.35,84.94,4.0
428,Bocaiuva,0,BR,1567741617,71,-17.12,-43.81,64.76,9.71
429,Pangody,96,RU,1567741617,75,65.85,74.49,54.03,13.4
430,Paamiut,100,GL,1567741617,86,61.99,-49.67,40.66,11.74
431,Zhuhai,0,CN,1567741618,36,40.71,112.04,77.0,4.47
432,Nelson Bay,0,AU,1567741618,47,-32.72,152.14,82.0,23.04
433,Boa Vista,0,BR,1567741618,78,2.82,-60.67,82.4,3.36
434,Forbes,99,AU,1567741618,29,-33.38,148.01,71.01,3.0
435,Adrar,40,DZ,1567741619,60,27.87,-0.29,75.2,10.29
436,Challapata,100,BO,1567741619,76,-18.9,-66.78,45.28,8.93
437,Porkhov,4,RU,1567741619,93,57.77,29.55,53.6,4.47
438,Havoysund,75,NO,1567741619,93,71.0,24.66,46.4,20.8
439,Narsaq,100,GL,1567741620,61,60.91,-46.05,50.0,26.4
440,Bambous Virieux,40,MU,1567741620,93,-20.34,57.76,72.0,5.82
441,Skelleftea,34,SE,1567741621,81,64.75,20.95,48.2,6.93
442,Redding,1,US,1567741589,37,40.59,-122.39,87.8,0.6
443,Guerrero Negro,0,MX,1567741552,78,27.97,-114.04,74.21,9.04
444,Galle,100,GN,1567741622,99,10.08,-12.83,70.38,2.42
445,Rocha,100,UY,1567741622,94,-34.48,-54.34,39.54,5.06
446,Okhotsk,0,RU,1567741622,38,59.36,143.24,64.13,19.55
447,Bud,100,NO,1567741623,76,62.91,6.91,48.2,8.05
448,Misratah,5,LY,1567741624,73,32.38,15.09,77.79,11.36
449,Mbandaka,15,CD,1567741624,88,0.05,18.26,71.22,2.53
450,Liverpool,40,GB,1567741624,76,53.41,-2.98,57.2,10.29
451,Altay,32,CN,1567741625,31,47.83,88.13,56.1,4.0
452,Aqtobe,75,KZ,1567741625,76,50.28,57.21,51.8,4.47
453,Saldanha,0,PT,1567741625,63,41.42,-6.55,55.58,6.8
454,Tashtyp,0,RU,1567741626,65,52.8,89.89,51.49,5.46
455,Luba,63,PH,1567741626,82,17.32,120.7,82.54,19.55
456,La Ronge,5,CA,1567741626,71,55.1,-105.3,55.4,4.7
457,Meridian,67,US,1567741500,61,43.61,-116.39,77.0,4.7
458,Maputo,99,MZ,1567741514,75,-25.97,32.57,65.62,13.42
459,Nouadhibou,0,MR,1567741627,78,20.93,-17.03,73.4,11.41
460,Damietta,0,EG,1567741627,71,31.42,31.81,76.44,3.65
461,Antofagasta,90,CL,1567741627,76,-23.65,-70.4,57.2,6.93
462,Petukhovo,79,RU,1567741627,85,55.06,67.89,50.04,16.64
463,Cayenne,12,GF,1567741628,88,4.94,-52.33,77.0,6.49
464,Zhezkazgan,90,KZ,1567741628,81,47.8,67.71,50.0,17.9
465,Zonguldak,94,TR,1567741628,72,41.25,31.83,72.05,12.68
466,Rawson,100,AR,1567741594,91,-43.3,-65.11,38.61,15.61
467,Pella,20,GR,1567741629,73,40.76,22.53,73.99,3.36
468,Ginir,47,ET,1567741629,89,7.14,40.71,57.76,5.53
469,Saint Charles,1,US,1567741609,88,41.91,-88.31,64.99,10.29
470,Provideniya,75,RU,1567741629,76,64.42,-173.23,51.8,13.42
471,Eyl,4,SO,1567741630,72,7.98,49.82,74.98,25.64
472,Weihai,91,CN,1567741630,61,37.5,122.11,82.99,8.41
473,Kokopo,92,PG,1567741630,72,-4.34,152.27,80.69,2.1
474,Mangan,88,IN,1567741630,72,27.5,88.54,65.91,1.66
475,Tvoroyri,95,FO,1567741631,81,61.56,-6.81,48.2,3.36
476,Hegra,75,NO,1567741631,81,63.46,11.11,46.4,18.34
477,Murgab,0,TM,1567741631,55,37.5,61.97,62.6,4.7
478,Duki,0,PK,1567741631,51,30.15,68.58,82.87,4.0
479,Whitehorse,40,CA,1567741631,41,60.72,-135.06,60.8,2.24
480,Kiama,0,AU,1567741632,50,-34.67,150.86,75.2,23.04
481,Port Lincoln,88,AU,1567741632,69,-34.72,135.86,53.49,28.68
482,Zapolyarnyy,40,RU,1567741632,100,69.43,30.82,50.0,18.34
483,Naryan-Mar,65,RU,1567741632,90,67.67,53.09,48.29,12.88
484,Kahului,40,US,1567741633,58,20.89,-156.47,86.0,21.92
485,Gamba,15,CN,1567741633,60,28.28,88.52,45.95,5.12
486,Micheweni,86,TZ,1567741634,75,-4.97,39.83,77.52,9.78
487,Maceio,75,BR,1567741453,88,-9.67,-35.74,73.4,4.7
488,Oussouye,20,SN,1567741634,83,12.49,-16.54,80.6,2.24
489,Mattru,100,SL,1567741634,96,7.62,-11.83,74.12,3.13
490,Coffs Harbour,0,AU,1567741634,64,-30.3,153.13,89.6,19.46
491,Santa Maria,0,BR,1567741635,42,-16.02,-48.01,66.2,3.04
492,Houma,0,CN,1567741636,28,35.63,111.36,84.74,9.31
493,Freetown,1,BS,1567741636,80,26.61,-78.36,83.98,17.65
494,Tongliao,63,CN,1567741636,60,43.61,122.27,79.0,7.02
495,Dunedin,100,NZ,1567741339,67,-45.87,170.5,46.99,21.99
496,Perevoz,100,RU,1567741637,85,55.6,44.54,55.17,3.02
497,Mutare,0,MZ,1567741637,53,-18.97,32.67,48.27,2.55
498,Ayan,0,IR,1567741638,60,38.23,44.7,51.3,1.99
499,Itoman,75,JP,1567741638,83,26.12,127.67,84.2,21.92
500,Pasni,100,PK,1567741638,79,25.26,63.48,81.81,2.66
501,Bull Savanna,100,JM,1567741638,80,17.89,-77.59,83.37,3.69
502,Pundaguitan,100,PH,1567741639,73,6.37,126.17,83.37,3.2
503,Atikokan,100,CA,1567741639,98,48.76,-91.62,53.92,8.14
504,Diamantino,0,BR,1567741639,34,-14.4,-56.44,79.56,2.33
505,Djambala,60,CG,1567741641,78,-2.55,14.76,71.35,4.94
506,Kidal,17,ML,1567741641,32,18.44,1.41,91.17,9.01
507,Jambi,21,ID,1567741642,59,-1.6,103.62,86.45,4.99
508,Port Augusta,75,AU,1567741642,42,-32.49,137.76,62.6,23.04
509,Camacha,75,PT,1567741642,64,33.08,-16.33,69.8,14.99
510,Altos del Rosario,100,CO,1567741642,98,8.79,-74.16,77.29,2.84
511,Yaan,95,NG,1567741643,95,7.38,8.57,73.38,4.63
512,Lungi,100,SL,1567741643,98,9.22,-12.68,74.44,3.31
513,Sorong,75,ID,1567741643,62,-0.86,131.25,85.86,9.69
514,Tchaourou,89,BJ,1567741644,97,8.89,2.6,71.56,3.13
515,Keti Bandar,92,PK,1567741644,84,24.14,67.45,82.71,15.28
516,Tarsus,40,TR,1567741644,94,36.92,34.88,77.0,2.24
517,Santana do Paraiso,72,BR,1567741644,96,-19.36,-42.57,63.34,3.13
518,Saint-Michel-des-Saints,9,CA,1567741645,96,46.68,-73.92,43.45,3.0
519,Paka,94,CF,1567741645,93,4.15,15.03,68.54,0.96
520,Wenatchee,1,US,1567741645,47,47.42,-120.31,75.99,4.41
521,Karamursel,20,TR,1567741502,88,40.69,29.62,73.0,10.29
522,Zelenoborsk,12,RU,1567741648,85,61.47,64.05,50.45,0.74
523,Buri,90,BR,1567741648,86,-23.8,-48.6,55.02,13.31
524,Kilindoni,45,TZ,1567741650,75,-7.91,39.67,77.99,11.01
525,Luocheng,0,CN,1567741650,47,28.29,114.55,86.41,4.03
526,Garissa,38,KE,1567741650,84,-0.46,39.64,70.74,9.69
527,Pyshchug,83,RU,1567741650,96,58.89,45.71,51.24,2.98
528,Medenychi,33,UA,1567741651,100,49.43,23.75,52.0,5.61
529,Shasta Lake,1,US,1567741651,37,40.68,-122.36,87.8,0.51
530,Tazovskiy,42,RU,1567741596,81,67.47,78.7,50.04,15.88
531,Langenburg,10,CA,1567741651,75,50.84,-101.7,59.14,9.98
532,Limbang,75,BN,1567741651,66,4.75,115.01,87.8,8.05
533,Dawson Creek,1,CA,1567741652,81,55.76,-120.23,59.0,2.24
534,Puerto Narino,75,CO,1567741652,100,-3.77,-70.38,71.6,2.24
535,Flora,71,PH,1567741652,61,18.21,121.42,86.45,6.73
536,Arrifes,75,PT,1567741652,72,37.77,-25.7,71.01,6.93
537,Waddan,0,LY,1567741652,49,29.16,16.14,74.93,6.06
538,Duldurga,100,RU,1567741653,94,50.67,113.59,57.67,2.06
539,Half Moon Bay,90,US,1567741653,88,37.46,-122.43,66.0,6.93
540,Camopi,21,GF,1567741653,90,3.17,-52.33,72.28,4.85
541,Edd,100,ER,1567741653,35,13.93,41.69,91.58,3.67
542,Buchanan,75,LR,1567741654,94,5.88,-10.05,75.2,10.63
543,Sotouboua,96,TG,1567741654,90,8.56,0.98,73.78,1.28
544,Scalea,100,IT,1567741654,76,39.82,15.79,66.99,5.75
545,Chara,20,GR,1567741655,82,39.42,22.43,66.2,0.22
546,Solhan,20,TR,1567741655,50,38.97,41.05,54.0,3.36
547,Sitka,0,US,1567741655,43,37.17,-99.65,78.01,10.0
548,Grand Island,1,US,1567741589,83,40.92,-98.34,77.0,8.05
549,Beringovskiy,81,RU,1567741657,67,63.05,179.32,52.59,3.22
550,San Quintin,63,PH,1567741657,82,17.54,120.52,82.54,19.55
551,Sakaiminato,40,JP,1567741658,44,35.55,133.23,93.2,9.17
